                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.64627,                0.30504,                0.77565,                0.88036,                0.73761,                0.81605,                 0.5773,                0.77886,                0.35104,                0.79212,                0.00026,                0.00026,                0.00026
                     82,                0.64072,                0.30186,                0.77427,                0.90616,                0.74459,                0.83719,                0.58617,                0.76499,                 0.3529,                0.79191,             0.00024762,             0.00024762,             0.00024762
                     83,                0.63873,                0.30083,                0.77612,                0.88001,                0.71964,                 0.8076,                0.56591,                0.77937,                0.35698,                0.79348,             0.00023525,             0.00023525,             0.00023525
                     84,                0.65575,                0.30626,                0.77443,                 0.9011,                0.73564,                0.83246,                0.58483,                0.78746,                0.35542,                0.79318,             0.00022288,             0.00022288,             0.00022288
                     85,                0.65245,                0.30639,                0.77309,                0.90043,                0.73341,                0.81674,                0.57442,                0.77523,                0.35299,                0.79314,              0.0002105,              0.0002105,              0.0002105
                     86,                0.63207,                0.29979,                0.77481,                0.92378,                0.72213,                0.84153,                0.58784,                0.78423,                0.36483,                0.79264,             0.00019813,             0.00019813,             0.00019813
                     87,                0.63734,                0.30316,                0.77369,                0.91853,                0.74215,                 0.8321,                0.59176,                0.77098,                0.34728,                0.79128,             0.00018575,             0.00018575,             0.00018575
                     88,                0.64952,                0.30324,                0.77376,                0.90451,                0.77694,                0.84025,                0.59163,                0.76925,                0.34941,                0.79279,             0.00017338,             0.00017338,             0.00017338
                     89,                0.62103,                0.29468,                0.77332,                0.90947,                0.74543,                0.83645,                0.58868,                0.75696,                0.34812,                0.79246,               0.000161,               0.000161,               0.000161
                     90,                0.62446,                 0.2947,                0.77496,                0.86718,                0.76238,                0.84513,                0.59792,                0.77762,                 0.3507,                0.79215,             0.00014862,             0.00014862,             0.00014862
                     91,                0.59794,                0.29146,                0.77262,                0.87045,                0.73843,                0.81112,                 0.5761,                0.76844,                0.35093,                0.79051,             0.00013625,             0.00013625,             0.00013625
                     92,                0.58635,                0.28795,                0.77372,                0.86179,                0.73415,                0.81469,                0.56855,                0.77344,                0.34768,                0.79274,             0.00012387,             0.00012387,             0.00012387
                     93,                0.58515,                0.28317,                0.77514,                 0.8981,                0.76166,                0.83414,                0.58661,                0.77244,                0.34831,                0.79153,              0.0001115,              0.0001115,              0.0001115
                     94,                0.56808,                0.27946,                0.77263,                0.86721,                 0.7256,                0.80881,                0.57797,                0.78345,                0.35058,                0.79267,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.57152,                0.27828,                 0.7707,                0.94362,                 0.7391,                0.82107,                 0.5834,                0.77202,                0.34802,                0.79209,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.56184,                0.27537,                0.77243,                0.87508,                0.75213,                0.83419,                0.58566,                0.78197,                0.34703,                0.79261,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.55527,                0.27325,                0.77094,                 0.8616,                0.76283,                0.82368,                0.58774,                0.77587,                0.34561,                0.79135,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.54212,                 0.2671,                0.77237,                 0.8744,                0.76604,                0.83499,                0.59241,                0.76907,                 0.3422,                0.79175,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.56005,                0.27282,                0.77096,                0.86532,                0.75615,                0.83078,                0.58777,                0.76905,                0.34012,                0.79174,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.54378,                0.26775,                 0.7698,                0.88523,                0.75452,                0.82337,                0.57802,                0.76303,                0.34037,                0.79135,             2.4875e-05,             2.4875e-05,             2.4875e-05
